"OTU_ID"	"IN_130_MCB_26_S_ITS_S70"	"IN_130_MCB_2_S_ITS_S69"	"IN_130_MCB_9_S_ITS_S22"	"IN_132_MCB_16_S_ITS_S23"	"IN_132_MCB_17_S_ITS_S71"	"IN_132_MCB_27_S_ITS_S24"	"IN_272_MCB_10_S_ITS_S31"	"IN_272_MCB_11_S_ITS_S79"	"IN_272_MCB_24_S_ITS_S72"	"IN_55_MCB_6_S_ITS_S20"	"IN_55_MCB_7_S_ITS_S68"	"IN_55_MCB_8_S_ITS_S21"	"IN_WT_MCB_28_S_ITS_S32"	"IN_WT_MCB_29_S_ITS_S80"	"IN_WT_MCB_33_S_ITS_S33"	"TN_130_A_S_ITS_S35"	"TN_130_B_S_ITS_S83"	"TN_130_C_S_ITS_S36"	"TN_132_A_S_ITS_S84"	"TN_132_B_S_ITS_S43"	"TN_132_C_S_ITS_S91"	"TN_272_A_S_ITS_S44"	"TN_272_B_S_ITS_S92"	"TN_272_C_S_ITS_S45"	"TN_55_A_S_ITS_S81"	"TN_55_B_S_ITS_S34"	"TN_55_C_S_ITS_S82"	"TN_LS_1_S_ITS_S93"	"TN_LS_2_S_ITS_S46"	"TN_LS_3_S_ITS_S94"	"TN_WT_MB_19_S_ITS_S47"	"TN_WT_MB_20_S_ITS_S95"	"TN_WT_MB_21_S_ITS_S48"	"WA130_BNL_20_S_ITS_S9"	"WA132_RN_7_S_ITS_S57"	"WA132_RN_8_S_ITS_S10"	"WA272_BNL_17_S_ITS_S59"	"WA272_BNL_18_S_ITS_S12"	"WA272_RN_10_S_ITS_S11"	"WA_55_BNL_19_S_ITS_S8"	"WA_55_RN_1_S_ITS_S7"	"WA_55_RN_2_S_ITS_S55"	"WA_WT_BNL_21_S_ITS_S60"	"WA_WT_BNL_22_S_ITS_S19"	"WA_WT_BNL_23_S_ITS_S67"	"taxonomy"
"Otu03516"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);o__Capnodiales_unclassified(100);"
"Otu03517"	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	"k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(100);f__Piskurozymaceae(100);g__Solicoccozyma(100);s__Solicoccozyma_aeria(100);"
"Otu03518"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);"
"Otu03519"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Trechisporales(100);f__Hydnodontaceae(100);g__Trechispora(100);s__Trechispora_sp(100);"
"Otu03520"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	"k__Fungi(100);p__Chytridiomycota(100);c__Rhizophydiomycetes(100);o__Rhizophydiales(100);o__Rhizophydiales_unclassified(100);o__Rhizophydiales_unclassified(100);o__Rhizophydiales_unclassified(100);"
"Otu03521"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Herpotrichiellaceae(100);f__Herpotrichiellaceae_unclassified(100);f__Herpotrichiellaceae_unclassified(100);"
"Otu03522"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	"k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);o__Hypocreales_unclassified(100);o__Hypocreales_unclassified(100);o__Hypocreales_unclassified(100);"
"Otu03523"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);o__Pleosporales_unclassified(100);"
"Otu03524"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	"k__Fungi(100);p__Glomeromycota(100);c__Glomeromycetes(100);o__Gigasporales(100);f__Gigasporaceae(100);g__Cetraspora(100);s__Cetraspora_gilmorei(100);"
"Otu03525"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	"k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Psathyrellaceae(100);g__Psathyrella(100);s__Psathyrella_sp(62);"
