Var1	Var2	r	p	r.sign
Otu00885	Otu00005	-0.862255478875424	4.19154256281473e-06	0
Botu02373	Otu00005	-0.873053239492374	2.26034203132386e-06	0
Botu00616	Otu00006	0.924435099777507	4.20906807185872e-08	1
Botu01189	Otu00006	0.905070103584579	2.45323191094826e-07	1
Botu01403	Otu00006	0.865401517729661	3.52047463136884e-06	1
Botu02217	Otu00006	0.903694519361437	2.74023838509052e-07	1
Otu00036	Otu00011	0.952917109792447	1.04714148463358e-09	1
Otu00616	Otu00011	0.88844868593644	8.45015744932454e-07	1
Botu01934	Otu00011	0.860159389232789	4.69725014262679e-06	1
Botu01963	Otu00011	0.87217362682222	2.38183275014237e-06	1
Botu00732	Otu00015	0.862963306066876	4.0316918861194e-06	1
Botu00741	Otu00015	0.906273537994967	2.2238402230812e-07	1
Botu01218	Otu00015	0.880758809987416	1.40466807607709e-06	1
Botu01321	Otu00015	0.863239912090228	3.97066418500458e-06	1
Botu01953	Otu00015	0.878285318599714	1.6420716826282e-06	1
Botu00346	Otu00029	0.879917655739175	1.48184120196682e-06	1
Botu00534	Otu00029	0.860103626943005	4.71138866697807e-06	1
Botu00856	Otu00029	0.864836988055422	3.63358762234256e-06	1
Botu01087	Otu00029	0.867357512953368	3.15163814734731e-06	1
Botu01934	Otu00031	-0.867651467531859	3.09918860863512e-06	0
Botu00688	Otu00035	0.881414387975912	1.34694627451637e-06	1
Botu00486	Otu00036	0.869920794974897	2.71892712389032e-06	1
Botu01963	Otu00036	0.883839381681281	1.15081906670866e-06	1
Otu00049	Otu00042	0.866641522788065	3.28259435211642e-06	1
Otu00311	Otu00042	0.872597853417846	2.322555873846e-06	1
Botu00305	Otu00042	0.892588873769743	6.32874114003812e-07	1
Botu00840	Otu00042	0.87049167109176	2.62984794074939e-06	1
Botu01154	Otu00042	0.869452764021798	2.79388249824208e-06	1
Botu01238	Otu00042	0.900431654286897	3.53963260923962e-07	1
Botu01986	Otu00042	0.865112007444347	3.57809880879856e-06	1
Botu02272	Otu00042	0.881092171782453	1.37505576702779e-06	1
Otu00307	Otu00049	0.87842837298064	1.62745727938507e-06	1
Otu01082	Otu00049	0.862077296624862	4.23262909121647e-06	1
Botu00048	Otu00049	0.87041828842647	2.6411560023476e-06	1
Botu00698	Otu00049	-0.875261010056035	1.97862490791678e-06	0
Botu00935	Otu00049	0.891714153639976	6.7338026443764e-07	1
Botu02315	Otu00049	0.863526675288702	3.90823511509097e-06	1
Otu00144	Otu00051	0.875607907089375	1.93723229213738e-06	1
Otu00145	Otu00051	0.92920008316885	2.53818952522522e-08	1
Otu00271	Otu00051	0.910504856652795	1.5579057599524e-07	1
Botu00001	Otu00051	-0.874097007223942	2.1231300937341e-06	0
Botu00016	Otu00051	-0.905048476953946	2.45753454475306e-07	0
Botu00017	Otu00051	-0.886480908152735	9.65676574482544e-07	0
Botu00032	Otu00051	-0.909184726522188	1.74407287500955e-07	0
Botu00044	Otu00051	-0.889003732307462	8.13429537949162e-07	0
Botu00049	Otu00051	-0.89152940134385	6.82216039882277e-07	0
Botu00054	Otu00051	-0.896800825593395	4.65886147882344e-07	0
Botu00068	Otu00051	0.877974990564384	1.67416373075824e-06	1
Botu00072	Otu00051	-0.867769058086714	3.07841838598222e-06	0
Botu00086	Otu00051	0.892562459746334	6.34065752791457e-07	1
Botu00088	Otu00051	-0.86326876691523	3.96434389604572e-06	0
Botu00107	Otu00051	-0.875000466904103	2.01021207990593e-06	0
Botu00120	Otu00051	0.914729781539969	1.0726166510544e-07	1
Botu00146	Otu00051	0.873386062600309	2.21578450809723e-06	1
Botu00173	Otu00051	0.891090824355446	7.03592627271377e-07	1
Botu00178	Otu00051	0.911067098571522	1.48399886601425e-07	1
Botu00214	Otu00051	-0.878099642111556	1.66120879452336e-06	0
Botu00226	Otu00051	-0.876444841438794	1.84042297979303e-06	0
Botu00246	Otu00051	0.875780620841849	1.91690313822157e-06	1
Botu00247	Otu00051	0.859970073795885	4.74539972072918e-06	1
Botu00252	Otu00051	0.89152940134385	6.82216039882277e-07	1
Botu00259	Otu00051	0.912313774360686	1.33086025311258e-07	1
Botu00283	Otu00051	-0.898088881334802	4.2311560921604e-07	0
Botu00319	Otu00051	0.894521044567953	5.50781163344283e-07	1
Botu00320	Otu00051	0.948295720079552	2.18242424132598e-09	1
Botu00333	Otu00051	0.865117318812377	3.57703437892098e-06	1
Botu00342	Otu00051	-0.871770220313045	2.43940321476011e-06	0
Botu00344	Otu00051	0.891990736123156	6.60337328595162e-07	1
Botu00366	Otu00051	-0.86100743214787	4.4866760300355e-06	0
Botu00374	Otu00051	0.930510441730891	2.19503430987089e-08	1
Botu00382	Otu00051	0.87163981412392	2.45826778888514e-06	1
Botu00384	Otu00051	-0.917423517806349	8.36923166325221e-08	0
Botu00388	Otu00051	0.919979472109116	6.56172713942027e-08	1
Botu00455	Otu00051	0.918156292485744	7.81162656782186e-08	1
Botu00459	Otu00051	0.875987287326984	1.89281918672179e-06	1
Botu00462	Otu00051	-0.878099642111556	1.66120879452336e-06	0
Botu00478	Otu00051	-0.866060423886202	3.39229129364682e-06	0
Botu00504	Otu00051	0.943742654698214	4.22542179023822e-09	1
Botu00508	Otu00051	0.922886463434165	4.92617791003624e-08	1
Botu00549	Otu00051	0.8612877973291	4.41886748814291e-06	1
Botu00568	Otu00051	0.918715225181356	7.40822296840804e-08	1
Botu00596	Otu00051	0.862158091146029	4.21395625083143e-06	1
Botu00608	Otu00051	0.865894731489364	3.42414128651214e-06	1
Botu00614	Otu00051	0.937076385334546	1.01324157952831e-08	1
Botu00642	Otu00051	0.878521724949313	1.61798098252675e-06	1
Botu00785	Otu00051	0.891397144198856	6.88602514120618e-07	1
Botu00820	Otu00051	-0.862322999008582	4.1760630558052e-06	0
Botu00864	Otu00051	0.912939495369348	1.25929551675341e-07	1
Botu00882	Otu00051	0.899590259469937	3.77580297694635e-07	1
Botu00925	Otu00051	0.933197713680631	1.61491862105123e-08	1
Botu00942	Otu00051	0.893526868984666	5.91791395665453e-07	1
Botu00978	Otu00051	0.895674912197888	5.06280793066693e-07	1
Botu00998	Otu00051	0.90278357553571	2.94588617943958e-07	1
Botu01060	Otu00051	0.895007860740403	5.31611183518521e-07	1
Botu01065	Otu00051	-0.919823060253184	6.66168631369146e-08	0
Botu01137	Otu00051	0.947870419901728	2.3270938509512e-09	1
Botu01138	Otu00051	0.883147990348967	1.20404961645448e-06	1
Botu01144	Otu00051	0.872106719935235	2.39129941315142e-06	1
Botu01146	Otu00051	0.865292407709196	3.54209753927748e-06	1
Botu01153	Otu00051	0.864435296506096	3.71596247172867e-06	1
Botu01227	Otu00051	0.922747571310187	4.99537935461092e-08	1
Botu01257	Otu00051	0.923960804719761	4.4183873004755e-08	1
Botu01271	Otu00051	0.884965114570779	1.06848548786509e-06	1
Botu01302	Otu00051	0.870036644326961	2.70064315666119e-06	1
Botu01309	Otu00051	0.867552250700228	3.11680705467055e-06	1
Botu01311	Otu00051	0.889016107651475	8.12737062094726e-07	1
Botu01403	Otu00051	0.878972349732659	1.57290270585975e-06	1
Botu01413	Otu00051	0.885527900778058	1.02926471123865e-06	1
Botu01423	Otu00051	0.868715032869063	2.91563840892906e-06	1
Botu01486	Otu00051	0.873079160102667	2.25684437826779e-06	1
Botu01579	Otu00051	0.90781068412248	1.95798564250893e-07	1
Botu01677	Otu00051	0.888113902309242	8.64574302816834e-07	1
Botu01748	Otu00051	0.901938373122349	3.14848838112169e-07	1
Botu01775	Otu00051	0.895402058600174	5.16513140702557e-07	1
Botu01787	Otu00051	0.897975711979809	4.26732304603661e-07	1
Botu01811	Otu00051	0.918462502537727	7.58832952030275e-08	1
Botu01932	Otu00051	0.874701597955683	2.0469793455824e-06	1
Botu01934	Otu00051	0.915992961674363	9.55782066824895e-08	1
Botu02088	Otu00051	0.93226613357616	1.79875745409674e-08	1
Botu02217	Otu00051	0.868609908609758	2.93335417334006e-06	1
Botu02273	Otu00051	0.873752798962275	2.16756406645757e-06	1
Botu02289	Otu00051	0.869180956760361	2.83822291802238e-06	1
Botu02299	Otu00051	0.864045257656022	3.79747821899201e-06	1
Botu02465	Otu00051	0.915356601784869	1.01318249345894e-07	1
Botu02646	Otu00051	0.904047062683805	2.66404978077617e-07	1
Botu02654	Otu00051	0.865779464409707	3.44644964078711e-06	1
Otu00476	Otu00058	0.891723824290885	6.72920498434593e-07	1
Otu00706	Otu00058	0.899450812251237	3.81623066258996e-07	1
Botu00326	Otu00058	0.8690270947042	2.8635899322893e-06	1
Botu00840	Otu00058	0.859417103004002	4.88847446034057e-06	1
Botu02272	Otu00058	0.874151149545716	2.1162126979668e-06	1
Botu00683	Otu00075	-0.873957294339662	2.14107022711296e-06	0
Otu00217	Otu00077	0.868374115650034	2.97342747601625e-06	1
Otu00311	Otu00077	-0.867206179304072	3.17893649648404e-06	0
Botu00835	Otu00077	-0.905677025021786	2.33511091352057e-07	0
Botu00920	Otu00077	0.872196682428558	2.37857808826902e-06	1
Botu00949	Otu00077	-0.912816176596488	1.27312991704542e-07	0
Botu01015	Otu00077	-0.859116583143515	4.96777236858037e-06	0
Botu01552	Otu00077	-0.874718428150189	2.0448936017825e-06	0
Botu02273	Otu00077	-0.902809734225194	2.93979993015725e-07	0
Otu00381	Otu00080	-0.863485149837796	3.91722274750705e-06	0
Otu00875	Otu00080	-0.869873247244399	2.7264621191847e-06	0
Botu00048	Otu00080	-0.861576671204786	4.3499236070943e-06	0
Botu00195	Otu00080	0.884047723502973	1.13518192867978e-06	1
Botu00698	Otu00080	0.931296933759255	2.00903484959269e-08	1
Botu02071	Otu00080	-0.87388858537801	2.14994070013574e-06	0
Otu00144	Otu00082	0.884621585182381	1.0930539142695e-06	1
Otu00276	Otu00082	0.875533169533442	1.94608658921069e-06	1
Botu00072	Otu00082	-0.859807262617926	4.78714670770763e-06	0
Botu00073	Otu00082	0.866817234802725	3.25003080847708e-06	1
Botu00107	Otu00082	-0.904022877733965	2.66921726721492e-07	0
Botu00146	Otu00082	0.909820616615006	1.65212825642413e-07	1
Botu00178	Otu00082	0.90229285407255	3.06209656075751e-07	1
Botu00239	Otu00082	-0.863342132797522	3.94831292949149e-06	0
Botu00281	Otu00082	0.88058327453992	1.42048039730724e-06	1
Botu00344	Otu00082	0.900226726105885	3.59594459986567e-07	1
Botu00374	Otu00082	0.873014921474024	2.26552109894307e-06	1
Botu00465	Otu00082	0.86996848936286	2.71138688767714e-06	1
Botu00568	Otu00082	0.878678018193281	1.60222179124148e-06	1
Botu00718	Otu00082	0.897891093683635	4.29453975048233e-07	1
Botu00925	Otu00082	0.860058116298063	4.72295495712594e-06	1
Botu00998	Otu00082	0.896216795224468	4.86477408134789e-07	1
Botu01038	Otu00082	0.866678881514164	3.27564753055398e-06	1
Botu01092	Otu00082	0.900536916119236	3.511005206569e-07	1
Botu01137	Otu00082	0.910827606015636	1.51510058721271e-07	1
Botu01579	Otu00082	0.892665453356187	6.29430230825179e-07	1
Botu01644	Otu00082	0.923674876525228	4.54888589018765e-08	1
Botu02465	Otu00082	0.895494777750539	5.13016213510298e-07	1
Botu02646	Otu00082	0.883453647919605	1.18026091389112e-06	1
