Var1	Var2	r	p	r.sign
Otu0017	Otu0001	0.675864958544018	0.00567790565164183	1
Otu0061	Otu0001	-0.680259791683997	0.00525839115142235	0
Otu0065	Otu0001	0.679238649134796	0.00535360444985078	1
Otu0067	Otu0001	0.87030323463997	2.45212874865341e-05	1
Otu0128	Otu0001	-0.644809751394437	0.00944987627583949	0
Otu0253	Otu0001	-0.692874455959073	0.00418889429534031	0
Otu0270	Otu0001	0.773722639998807	0.00071310914281586	1
Otu0300	Otu0001	0.700257117122591	0.00364822390429076	1
Otu0391	Otu0001	-0.672073394142425	0.00606069003892817	0
Botu0034	Otu0001	-0.683781582018993	0.00494024314342156	0
Botu0053	Otu0001	0.765169816762821	0.000887474698095803	1
Botu0067	Otu0001	0.654344726060896	0.00812897832519033	1
Botu0076	Otu0001	0.703263420954294	0.00344466987059655	1
Botu0093	Otu0001	0.779981861993195	0.000604045702468969	1
Botu0126	Otu0001	0.687564904420935	0.00461565689904764	1
Botu0134	Otu0001	0.782227022227443	0.000568405188639876	1
Botu0157	Otu0001	-0.655370661049085	0.00799597462305401	0
Botu0202	Otu0001	-0.828487439439409	0.000135646936297196	0
Botu0210	Otu0001	0.79151830395146	0.000438601019586926	1
Botu0224	Otu0001	0.64624206144938	0.00924142734242217	1
Botu0228	Otu0001	0.75030857849485	0.00127169290592333	1
Botu0259	Otu0001	0.651059294633143	0.00856661559934002	1
Botu0292	Otu0001	0.649398982765607	0.00879468468222755	1
Botu0320	Otu0001	-0.701171936519452	0.00358529505344896	0
Botu0340	Otu0001	0.676756343578589	0.00559075083717842	1
Botu0497	Otu0001	0.704593074504155	0.00335757800611036	1
Botu0578	Otu0001	0.65208990096309	0.00842739387687086	1
Botu0622	Otu0001	0.781735959970572	0.000576050361829505	1
Otu0005	Otu0003	0.67620859541722	0.00564418048954529	1
Otu0160	Otu0003	0.806740235766883	0.000278711219961369	1
Otu0183	Otu0003	0.711512473537885	0.00293225265035346	1
Otu0189	Otu0003	0.767206116176465	0.000843123628175846	1
Otu0200	Otu0003	0.646128517647749	0.00925781933940861	1
Otu0251	Otu0003	-0.712347010528895	0.00288401013061002	0
Otu0420	Otu0003	-0.710441335196864	0.00299511480709791	0
Otu0470	Otu0003	0.719608320167146	0.00249044373135998	1
Otu0854	Otu0003	-0.675723423210017	0.00569184238923004	0
Botu0010	Otu0003	-0.689285714285714	0.00447373445090626	0
Botu0062	Otu0003	-0.714568543722371	0.00275867328677659	0
Botu0181	Otu0003	0.678795575864997	0.00539533918357371	1
Botu0353	Otu0003	0.806740235766883	0.000278711219961369	1
Botu0440	Otu0003	0.646095738380922	0.0092625558155488	1
Otu0037	Otu0005	0.766437101494488	0.000859656627047567	1
Otu0058	Otu0005	-0.699820788530466	0.00367854625560549	0
Otu0062	Otu0005	0.686175929570017	0.00473279538823124	1
Otu0104	Otu0005	-0.701612903225806	0.00355527207618866	0
Otu0136	Otu0005	-0.694693239409499	0.00405014465075215	0
Otu0175	Otu0005	-0.657043712108302	0.00778274575563942	0
Otu0238	Otu0005	-0.812488545015787	0.000232459615037595	0
Otu0335	Otu0005	-0.650020042533783	0.00870882302640585	0
Otu0339	Otu0005	-0.661701234277565	0.00721258384848489	0
Otu0358	Otu0005	0.682749553939816	0.00503184956035541	1
Otu0554	Otu0005	0.706998223220637	0.00320450565499764	1
Botu0054	Otu0005	0.705944420687843	0.00327087282276262	1
